index,entity,img,name,norm_name,folder_name
153,http://dbpedia.org/resource/Magdalena_Zawadzka,http://commons.wikimedia.org/wiki/Special:FilePath/Magdalena_Zawadzka_2011.jpg?width=300,Magdalena Zawadzka,Magdalena Zawadzka,Magdalena Zawadzka
154,http://dbpedia.org/resource/Maggie_Blye,http://commons.wikimedia.org/wiki/Special:FilePath/Margaret_Blye_in_Hombre_still.JPG?width=300,Maggie Blye,Maggie Blye,Maggie Blye
155,http://dbpedia.org/resource/Maggie_Peterson,http://commons.wikimedia.org/wiki/Special:FilePath/Bill_Dana_Maggie_Peterson_Bill_Dana_Show_1964.JPG?width=300,Maggie Peterson,Maggie Peterson,Maggie Peterson
156,http://dbpedia.org/resource/Magnus_Härenstam,http://commons.wikimedia.org/wiki/Special:FilePath/Magnus_Härenstam_2012-01-25_004.jpg?width=300,Magnus Härenstam,Magnus Härenstam,Magnus Härenstam
157,http://dbpedia.org/resource/Magnus_Samuelsson,http://commons.wikimedia.org/wiki/Special:FilePath/Magnus_Samuelsson.jpg?width=300,Magnus Samuelsson,Magnus Samuelsson,Magnus Samuelsson
158,http://dbpedia.org/resource/Mahdi_Pakdel,http://commons.wikimedia.org/wiki/Special:FilePath/Mehdi_Pakdel.jpg?width=300,Mehdi Pakdel,Mahdi Pakdel,Mahdi Pakdel
159,http://dbpedia.org/resource/Mahek_Chahal,http://commons.wikimedia.org/wiki/Special:FilePath/Mahek_Chahal_at_launch_of_INIFD_Academy_of_Interiors.jpg?width=300,Mahek Chahal,Mahek Chahal,Mahek Chahal
160,http://dbpedia.org/resource/Mahesh_Kothare,http://commons.wikimedia.org/wiki/Special:FilePath/MaheshKothare.jpg?width=300,Mahesh Kothare,Mahesh Kothare,Mahesh Kothare
161,http://dbpedia.org/resource/Mahhi_Vij,http://commons.wikimedia.org/wiki/Special:FilePath/Jay_Bhanushali_and_Mahhi_Vij_at_the_musical_concert.jpg?width=300,Mahhi Vij,Mahhi Vij,Mahhi Vij
162,http://dbpedia.org/resource/Mahika_Sharma,"http://commons.wikimedia.org/wiki/Special:FilePath/Actress_Mahika_Sharma_(26th_july,_1994).jpg?width=300",Mahika Sharma,Mahika Sharma,Mahika Sharma
163,http://dbpedia.org/resource/Mahmoud_Dowlatabadi,http://commons.wikimedia.org/wiki/Special:FilePath/Mahmoud_Dowlatabadi_in_Shahrzad_Series_closing_ceremony.jpg?width=300,Mahmoud Dowlatabadi,Mahmoud Dowlatabadi,Mahmoud Dowlatabadi
164,http://dbpedia.org/resource/Mahmoud_Kabil,http://en.wikipedia.org/wiki/Special:FilePath/Mahmoud_Kabil_Early_Years.JPG?width=300,Mahmoud Kabil,Mahmoud Kabil,Mahmoud Kabil
